GENE	0hr	1hr	3hr	24hr
chr1:21116384-21116414	0.198753	0.042001	0.0387099	0.0241199
chr1:21120060-21120090	0.198753	0.042001	0.0387099	0.0361798
chr1:21255390-21255420	0.425898	0.336008	0.174195	0.253259
chr1:21338027-21338057	0.00283932	0.105003	0.174195	0.0723597
chr1:21535027-21535057	0.00283932	0.105003	0.0774198	0.168839
chr1:21817796-21817826	0.0567865	0.0210005	0.251614	0.120599
chr1:22274128-22274158	0.00283932	0.273007	0.0387099	0.0844196
chr1:22276021-22276051	0.141966	0.189005	0.212905	0.349738
chr1:22488503-22488533	0.00283932	0.189005	0.0774198	0.0964795
chr1:22625688-22625718	0.00283932	0.0840021	0.174195	0.168839
chr1:22989546-22989576	0.170359	0.00210005	0.0019355	0.0120599
chr1:23100397-23100427	0.198753	0.126003	0.0019355	0.120599
chr1:23772225-23772255	0.00283932	0.168004	0.019355	0.0602997
chr1:23966567-23966597	0.198753	0.042001	0.019355	0.0723597
chr1:24635311-24635341	0.198753	0.0630016	0.0387099	0.120599
chr1:24752103-24752133	0.00283932	0.105003	0.212905	0.168839
chr1:25837471-25837501	0.0283932	0.0630016	0.11613	0.192959
chr1:26102790-26102820	0.00283932	0.189005	0.0580649	0.0844196
chr1:26770915-26770945	0.198753	0.0210005	0.0774198	0.0241199
chr1:26810202-26810232	0.0283932	0.231006	0.0967748	0.205019
chr1:27608796-27608826	0.0851797	0.210005	0.11613	0.217079
chr1:27905134-27905164	0.227146	0.0630016	0.019355	0.0602997
chr1:27924780-27924810	0.198753	0.0210005	0.0580649	0.0723597
chr1:28456149-28456179	0.312325	0.042001	0.0387099	0.108539
chr1:28772453-28772483	0.00283932	0.042001	0.15484	0.0844196
chr1:29032523-29032553	0.198753	0.00210005	0.0774198	0.0964795
chr1:29035458-29035488	0.198753	0.0630016	0.135485	0.0241199
chr1:29465936-29465966	0.0283932	0.210005	0.135485	0.192959
chr1:30106280-30106310	0.0567865	0.231006	0.11613	0.192959
chr1:30715391-30715421	0.00283932	0.042001	0.19355	0.0361798
chr1:30852157-30852187	0.00283932	0.0630016	0.0387099	0.180899
chr1:32620250-32620280	0.141966	0.39901	0.212905	0.373858
chr1:32865978-32866008	0.00283932	0.105003	0.19355	0.0723597
chr1:32964946-32964976	0.198753	0.0210005	0.0774198	0.108539
chr1:33421159-33421189	0.227146	0.0630016	0.0774198	0.0241199
chr1:35059811-35059841	0.0283932	0.189005	0.270969	0.120599
chr1:35230934-35230964	0.00283932	0.0630016	0.19355	0.0361798
chr1:35505962-35505992	0.0283932	0.210005	0.0967748	0.132659
chr1:35762142-35762172	0.0283932	0.0840021	0.0580649	0.229139
chr1:35848474-35848504	0.00283932	0.0630016	0.212905	0.0844196
chr1:35877173-35877203	0.0851797	0.315008	0.0967748	0.120599
chr1:36006516-36006546	0.170359	0.00210005	0.0019355	0.0723597
chr1:36034885-36034915	0.00283932	0.189005	0.15484	0.108539
chr1:36034929-36034959	0.00283932	0.042001	0.11613	0.180899
chr1:36133635-36133665	0.00283932	0.189005	0.15484	0.229139
chr1:36300064-36300094	0.0283932	0.105003	0.11613	0.229139
chr1:37410891-37410921	0.0851797	0.147004	0.19355	0.144719
chr1:37468970-37469000	0.00283932	0.0840021	0.135485	0.168839
chr1:38691759-38691789	0.170359	0.0210005	0.0019355	0.0361798
chr1:39030800-39030830	0.227146	0.105003	0.019355	0.0482398
chr1:39050850-39050880	0.283932	0.042001	0.0580649	0.0241199
chr1:39129656-39129686	0.0851797	0.378009	0.174195	0.253259
chr1:39246141-39246171	0.198753	0.0210005	0.0387099	0.0120599
chr1:39268390-39268420	0.00283932	0.231006	0.0967748	0.205019
chr1:39562782-39562812	0.198753	0.0210005	0.0580649	0.0482398
chr1:39806985-39807015	0.227146	0.105003	0.0580649	0.0482398
chr1:39846547-39846577	0.198753	0.0840021	0.019355	0.0602997
chr1:39890206-39890236	0.198753	0.042001	0.019355	0.0241199
chr1:40380219-40380249	0.255539	0.147004	0.0580649	0.205019
chr1:42186325-42186355	0.0283932	0.126003	0.0580649	0.168839
chr1:42684293-42684323	0.00283932	0.168004	0.19355	0.120599
chr1:42763157-42763187	0.255539	0.0210005	0.019355	0.0964795
chr1:43225392-43225422	0.00283932	0.210005	0.0387099	0.0964795
chr1:43232247-43232277	0.0567865	0.126003	0.11613	0.241199
chr1:43526285-43526315	0.00283932	0.231006	0.135485	0.0964795
chr1:43791274-43791304	0.198753	0.0840021	0.0387099	0.0120599
chr1:44731066-44731096	0.00283932	0.273007	0.11613	0.0602997
chr1:44819804-44819834	0.00283932	0.147004	0.212905	0.0844196
chr1:45617834-45617864	0.0567865	0.147004	0.212905	0.192959
chr1:45727943-45727973	0.00283932	0.042001	0.0774198	0.192959
chr1:45945546-45945576	0.312325	0.0210005	0.0774198	0.132659
chr1:47147258-47147288	0.0851797	0.252006	0.135485	0.120599
chr1:47262979-47263009	0.113573	0.231006	0.174195	0.434158
chr1:47527851-47527881	0.397505	0.0840021	0.135485	0.253259
chr1:47726420-47726450	0.369112	0.231006	0.11613	0.325618
chr1:47906201-47906231	0.0567865	0.294007	0.212905	0.217079
chr1:48435036-48435066	0.227146	0.0630016	0.0019355	0.0723597
chr1:48530936-48530966	0.0283932	0.210005	0.0774198	0.0964795
chr1:50735523-50735553	0.369112	0.168004	0.0774198	0.241199
chr1:51220530-51220560	0.0567865	0.252006	0.174195	0.265319
chr1:51530504-51530534	0.227146	0.0210005	0.0580649	0.0241199
chr1:51866869-51866899	0.0283932	0.042001	0.0967748	0.156779
chr1:51929065-51929095	0.00283932	0.189005	0.135485	0.0482398
chr1:52330400-52330430	0.00283932	0.042001	0.174195	0.0723597
chr1:53182160-53182190	0.0567865	0.231006	0.232259	0.301499
chr1:53949218-53949248	0.0567865	0.126003	0.0967748	0.192959
chr1:55071659-55071689	0.0283932	0.147004	0.174195	0.289439
chr1:55893318-55893348	0.369112	0.210005	0.0774198	0.156779
chr1:56285831-56285861	0.00283932	0.105003	0.11613	0.253259
chr1:56719725-56719755	0.0283932	0.00210005	0.174195	0.0241199
chr1:58574914-58574944	0.00283932	0.210005	0.019355	0.0844196
chr1:58652752-58652782	0.0567865	0.294007	0.309679	0.289439
chr1:58692212-58692242	0.283932	0.0210005	0.019355	0.0723597
chr1:58701787-58701817	0.198753	0.00210005	0.019355	0.00120599
chr1:58809053-58809083	0.198753	0.0210005	0.019355	0.0241199
chr1:58844415-58844445	0.227146	0.0630016	0.0774198	0.0602997
chr1:59707366-59707396	0.00283932	0.105003	0.0580649	0.229139
chr1:59714650-59714680	0.00283932	0.042001	0.19355	0.0241199
chr1:59947468-59947498	0.0567865	0.336008	0.135485	0.265319
chr1:60947524-60947554	0.0851797	0.105003	0.135485	0.180899
chr1:61608101-61608131	0.227146	0.105003	0.019355	0.0361798
chr1:62526943-62526973	0.198753	0.0210005	0.0019355	0.0120599
chr1:62648964-62648994	0.198753	0.042001	0.019355	0.0482398
chr1:63714278-63714308	0.00283932	0.189005	0.019355	0.0964795
chr1:64476274-64476304	0.00283932	0.147004	0.19355	0.0844196
chr1:64948096-64948126	0.255539	0.0210005	0.019355	0.0120599
chr1:65274002-65274032	0.198753	0.00210005	0.0387099	0.0844196
chr1:66207704-66207734	0.0851797	0.210005	0.174195	0.229139
chr1:66749307-66749337	0.198753	0.0630016	0.0774198	0.0361798
chr1:67293778-67293808	0.170359	0.042001	0.0019355	0.120599
chr1:67829306-67829336	0.198753	0.00210005	0.0387099	0.0482398
chr1:68116798-68116828	0.283932	0.168004	0.0774198	0.349738
chr1:68901319-68901349	0.198753	0.00210005	0.019355	0.0361798
chr1:70133117-70133147	0.170359	0.294007	0.212905	0.373858
chr1:71050162-71050192	0.141966	0.252006	0.0967748	0.301499
chr1:71687176-71687206	0.198753	0.0210005	0.0019355	0.0361798
chr1:71760186-71760216	0.00283932	0.00210005	0.0387099	0.180899
chr1:71914231-71914261	0.255539	0.0210005	0.15484	0.0844196
chr1:72037899-72037929	0.0567865	0.126003	0.174195	0.373858
chr1:72050802-72050832	0.0567865	0.252006	0.0774198	0.108539
chr1:72898267-72898297	0.0283932	0.126003	0.19355	0.0964795
chr1:73197723-73197753	0.198753	0.0210005	0.019355	0.0602997
chr1:73305953-73305983	0.170359	0.042001	0.0387099	0.0120599
chr1:73352281-73352311	0.00283932	0.210005	0.019355	0.0120599
chr1:73573253-73573283	0.0567865	0.168004	0.290324	0.120599
chr1:76331169-76331199	0.113573	0.336008	0.290324	0.482398
chr1:77230204-77230234	0.00283932	0.042001	0.135485	0.156779
chr1:77762188-77762218	0.00283932	0.210005	0.0387099	0.0602997
chr1:78003040-78003070	0.0283932	0.231006	0.0967748	0.192959
chr1:78085625-78085655	0.227146	0.0630016	0.019355	0.120599
chr1:78100013-78100043	0.198753	0.00210005	0.0774198	0.0723597
chr1:79151559-79151589	0.0567865	0.147004	0.135485	0.289439
chr1:79505726-79505756	0.00283932	0.231006	0.0580649	0.0964795
chr1:79617952-79617982	0.00283932	0.210005	0.135485	0.0964795
chr1:80876893-80876923	0.198753	0.0210005	0.0019355	0.0361798
chr1:81327859-81327889	0.0283932	0.210005	0.0774198	0.0723597
chr1:81681751-81681781	0.00283932	0.168004	0.0967748	0.217079
chr1:81965368-81965398	0.00283932	0.042001	0.15484	0.0241199
chr1:82473583-82473613	0.227146	0.0630016	0.0387099	0.0120599
chr1:82704806-82704836	0.227146	0.042001	0.0387099	0.108539
chr1:82774539-82774569	0.227146	0.0630016	0.019355	0.0241199
chr1:84698821-84698851	0.00283932	0.0630016	0.135485	0.192959
chr1:84834644-84834674	0.00283932	0.126003	0.174195	0.180899
chr1:85605202-85605232	0.227146	0.042001	0.019355	0.0120599
chr1:86393641-86393671	0.0283932	0.126003	0.19355	0.0723597
chr1:86884079-86884109	0.0283932	0.168004	0.19355	0.229139
chr1:86926448-86926478	0.00283932	0.0210005	0.135485	0.205019
chr1:86926485-86926515	0.255539	0.0210005	0.0774198	0.180899
chr1:87624518-87624548	0.00283932	0.189005	0.019355	0.0361798
chr1:87846237-87846267	0.00283932	0.336008	0.0387099	0.0602997
chr1:89350909-89350939	0.198753	0.00210005	0.0387099	0.0602997
chr1:89544172-89544202	0.00283932	0.126003	0.174195	0.0964795
chr1:89976761-89976791	0.0283932	0.00210005	0.212905	0.0482398
chr1:91841400-91841430	0.00283932	0.210005	0.0774198	0.132659
chr1:92502244-92502274	0.198753	0.0840021	0.0774198	0.0241199
chr1:92601908-92601938	0.198753	0.00210005	0.0774198	0.0120599
chr1:92994270-92994300	0.596258	0.210005	0.174195	0.434158
chr1:94026036-94026066	0.567865	0.252006	0.11613	0.361798
chr1:94857278-94857308	0.198753	0.0210005	0.0019355	0.0241199
chr1:94863673-94863703	0.00283932	0.210005	0.11613	0.0844196
chr1:95043496-95043526	0.00283932	0.273007	0.0387099	0.0844196
chr1:96332362-96332392	0.170359	0.0210005	0.019355	0.00120599
chr1:97850200-97850230	0.0567865	0.0630016	0.290324	0.132659
chr1:97986579-97986609	0.0283932	0.189005	0.174195	0.108539
chr1:99168840-99168870	0.198753	0.0210005	0.0019355	0.0361798
chr1:99177645-99177675	0.0283932	0.189005	0.174195	0.277379
chr1:99558725-99558755	0.283932	0.105003	0.019355	0.120599
chr1:100011200-100011230	0.227146	0.0210005	0.019355	0.0482398
chr1:100228984-100229014	0.198753	0.00210005	0.019355	0.0120599
chr1:100455626-100455656	0.312325	0.0630016	0.15484	0.277379
chr1:101009270-101009300	0.198753	0.042001	0.0387099	0.0482398
chr1:101139797-101139827	0.227146	0.0210005	0.0387099	0.0120599
chr1:101260816-101260846	0.00283932	0.210005	0.0580649	0.0602997
chr1:101288582-101288612	0.255539	0.231006	0.0387099	0.361798
chr1:108680953-108680983	0.198753	0.00210005	0.0019355	0.0241199
chr1:108704697-108704727	0.0567865	0.231006	0.174195	0.156779
chr1:108766569-108766599	0.198753	0.0210005	0.0387099	0.0120599
chr1:109342706-109342736	0.00283932	0.273007	0.11613	0.217079
chr1:110053995-110054025	0.369112	0.252006	0.0967748	0.422098
chr1:111550038-111550068	0.198753	0.0210005	0.0387099	0.0361798
chr1:111914872-111914902	0.170359	0.042001	0.0387099	0.0482398
chr1:112465597-112465627	0.198753	0.00210005	0.0387099	0.0602997
chr1:112468221-112468251	0.255539	0.0210005	0.0019355	0.0723597
chr1:112819292-112819322	0.00283932	0.189005	0.0774198	0.0964795
chr1:113881359-113881389	0.00283932	0.0210005	0.174195	0.0241199
chr1:114737302-114737332	0.227146	0.0210005	0.0019355	0.0241199
chr1:115490195-115490225	0.198753	0.00210005	0.019355	0.00120599
chr1:115649159-115649189	0.00283932	0.105003	0.19355	0.132659
chr1:116481152-116481182	0.198753	0.0840021	0.019355	0.0241199
chr1:116817587-116817617	0.198753	0.0630016	0.0019355	0.0723597
chr1:117102509-117102539	0.198753	0.00210005	0.019355	0.0241199
chr1:117128766-117128796	0.255539	0.294007	0.11613	0.192959
chr1:117823523-117823553	0.198753	0.0840021	0.0019355	0.0844196
chr1:119611759-119611789	0.00283932	0.189005	0.0774198	0.144719
chr1:119713080-119713110	0.198753	0.0210005	0.019355	0.0361798
chr1:119809118-119809148	0.397505	0.378009	0.15484	0.422098
chr1:125180135-125180165	2.32824	1.53304	1.64517	1.12157
chr1:143265994-143266024	0.340719	0.210005	0.15484	0.0602997
chr1:143697270-143697300	0.170359	0.00210005	0.0019355	0.0361798
chr1:145927172-145927202	0.0283932	0.168004	0.11613	0.205019
chr1:147979455-147979485	0.00283932	0.210005	0.0580649	0.0964795
chr1:149939211-149939241	0.227146	0.168004	0.0387099	0.0964795
chr1:150281404-150281434	0.00283932	0.252006	0.174195	0.289439
chr1:150366195-150366225	0.0283932	0.273007	0.174195	0.192959
chr1:150922658-150922688	0.0283932	0.210005	0.19355	0.217079
chr1:151571778-151571808	0.227146	0.0840021	0.0019355	0.0482398
chr1:151889161-151889191	0.454292	0.210005	0.232259	0.361798
chr1:152006089-152006119	0.227146	0.0630016	0.11613	0.0241199
chr1:152399233-152399263	0.0283932	0.147004	0.212905	0.144719
chr1:153642902-153642932	0.198753	0.042001	0.0580649	0.0241199
chr1:154151550-154151580	0.0567865	0.252006	0.212905	0.229139
chr1:154453668-154453698	0.00283932	0.189005	0.019355	0.0602997
chr1:154494263-154494293	0.283932	0.00210005	0.019355	0.0482398
chr1:154810196-154810226	0.0283932	0.315008	0.0774198	0.144719
chr1:154982950-154982980	0.312325	0.0630016	0.0967748	0.0723597
chr1:155308876-155308906	0.0283932	0.0840021	0.019355	0.168839
chr1:155729244-155729274	0.0283932	0.0840021	0.15484	0.229139
chr1:155796034-155796064	0.255539	0.00210005	0.11613	0.156779
chr1:155938295-155938325	0.00283932	0.189005	0.15484	0.217079
chr1:157121369-157121399	0.255539	0.0210005	0.0774198	0.0723597
chr1:157205708-157205738	0.227146	0.0210005	0.0580649	0.0964795
chr1:157489543-157489573	0.340719	0.252006	0.0774198	0.229139
chr1:157788859-157788889	0.170359	0.0210005	0.0387099	0.0361798
chr1:157969909-157969939	0.340719	0.189005	0.0387099	0.265319
chr1:157994955-157994985	0.00283932	0.0630016	0.135485	0.180899
chr1:159829439-159829469	0.227146	0.0630016	0.019355	0.108539
chr1:160031224-160031254	0.00283932	0.042001	0.174195	0.0482398
chr1:160287287-160287317	0.198753	0.0840021	0.0387099	0.0241199
chr1:160801131-160801161	0.198753	0.0210005	0.0019355	0.0361798
chr1:160972764-160972794	0.227146	0.0630016	0.019355	0.0482398
chr1:162627900-162627930	0.0567865	0.357009	0.270969	0.229139
chr1:162663243-162663273	0.00283932	0.189005	0.11613	0.0844196
chr1:163068849-163068879	0.227146	0.0840021	0.11613	0.0482398
chr1:163113060-163113090	0.170359	0.0210005	0.0019355	0.0602997
chr1:163902990-163903020	0.198753	0.00210005	0.0019355	0.0482398
chr1:163948496-163948526	0.198753	0.042001	0.019355	0.0482398
chr1:164127340-164127370	0.198753	0.0210005	0.0019355	0.0723597
chr1:164618013-164618043	0.0283932	0.168004	0.135485	0.253259
chr1:165369407-165369437	0.0567865	0.147004	0.15484	0.277379
chr1:167657130-167657160	0.170359	0.0630016	0.0387099	0.0241199
chr1:167939180-167939210	0.0283932	0.252006	0.0774198	0.0964795
chr1:168003083-168003113	0.198753	0.0840021	0.0580649	0.0482398
chr1:168008386-168008416	0.227146	0.00210005	0.0019355	0.0241199
chr1:168082427-168082457	0.0283932	0.168004	0.11613	0.229139
chr1:168218287-168218317	0.283932	0.0630016	0.019355	0.0241199
chr1:169375135-169375165	0.170359	0.042001	0.0019355	0.0120599
chr1:169894487-169894517	0.198753	0.0630016	0.0580649	0.0361798
chr1:170757510-170757540	0.170359	0.0630016	0.019355	0.0120599
chr1:171645081-171645111	0.340719	0.126003	0.19355	0.253259
chr1:172325763-172325793	0.0567865	0.147004	0.290324	0.241199
chr1:172350644-172350674	0.198753	0.0630016	0.0580649	0.0120599
chr1:172719817-172719847	0.170359	0.210005	0.15484	0.289439
chr1:172859308-172859338	0.0283932	0.0630016	0.0967748	0.168839
chr1:172893525-172893555	0.227146	0.0630016	0.019355	0.0964795
chr1:172909649-172909679	0.255539	0.042001	0.11613	0.120599
chr1:173220412-173220442	0.198753	0.00210005	0.0019355	0.0241199
chr1:173330534-173330564	0.227146	0.147004	0.0019355	0.108539
chr1:173830141-173830171	0.198753	0.0210005	0.0019355	0.0120599
chr1:173920335-173920365	0.255539	0.042001	0.019355	0.0241199
chr1:174040566-174040596	0.00283932	0.147004	0.11613	0.217079
chr1:174654875-174654905	0.170359	0.0210005	0.0019355	0.0120599
chr1:174660002-174660032	0.0283932	0.189005	0.0967748	0.205019
chr1:174690000-174690030	0.198753	0.042001	0.0019355	0.0602997
chr1:174815249-174815279	0.00283932	0.147004	0.0387099	0.180899
chr1:175481301-175481331	0.113573	0.42001	0.348389	0.422098
chr1:175543631-175543661	0.113573	0.231006	0.0967748	0.229139
chr1:175573070-175573100	0.141966	0.0840021	0.0019355	0.0241199
chr1:177586627-177586657	0.198753	0.0630016	0.0019355	0.0844196
chr1:177946102-177946132	0.283932	0.105003	0.0580649	0.192959
chr1:178482911-178482941	0.227146	0.0210005	0.0387099	0.0120599
chr1:178485894-178485924	0.00283932	0.105003	0.0387099	0.205019
chr1:178614095-178614125	0.255539	0.00210005	0.0580649	0.0120599
chr1:178867730-178867760	0.0283932	0.0210005	0.15484	0.0361798
chr1:179143112-179143142	0.255539	0.0840021	0.0580649	0.0964795
chr1:179246481-179246511	0.227146	0.0210005	0.019355	0.0602997
chr1:179473058-179473088	0.227146	0.042001	0.019355	0.0120599
chr1:179664129-179664159	0.0283932	0.042001	0.174195	0.192959
chr1:180481682-180481712	0.198753	0.00210005	0.0387099	0.0602997
chr1:180778974-180779004	0.0283932	0.147004	0.0774198	0.205019
chr1:181035410-181035440	0.198753	0.0210005	0.019355	0.0241199
chr1:181084454-181084484	0.369112	0.0840021	0.0580649	0.156779
chr1:181125556-181125586	0.227146	0.0210005	0.019355	0.0361798
chr1:181434272-181434302	0.227146	0.0210005	0.0580649	0.0602997
chr1:181448584-181448614	0.0567865	0.231006	0.0774198	0.168839
chr1:181479312-181479342	0.113573	0.39901	0.15484	0.410038
chr1:182396884-182396914	0.283932	0.168004	0.019355	0.301499
chr1:183060508-183060538	0.0851797	0.168004	0.15484	0.289439
chr1:183139159-183139189	0.283932	0.00210005	0.0019355	0.0602997
chr1:183211896-183211926	0.0851797	0.042001	0.251614	0.120599
chr1:183291958-183291988	0.00283932	0.147004	0.212905	0.205019
chr1:183306736-183306766	0.0567865	0.0840021	0.0580649	0.156779
chr1:183608465-183608495	0.0567865	0.147004	0.309679	0.277379
chr1:183783562-183783592	0.0283932	0.0840021	0.11613	0.180899
chr1:184163852-184163882	0.00283932	0.0840021	0.0580649	0.253259
chr1:184329336-184329366	0.00283932	0.210005	0.0580649	0.108539
chr1:184801797-184801827	0.00283932	0.0630016	0.174195	0.0602997
chr1:185096692-185096722	0.0283932	0.189005	0.0774198	0.0964795
chr1:185314635-185314665	0.0567865	0.210005	0.11613	0.156779
chr1:185368542-185368572	0.00283932	0.168004	0.11613	0.205019
chr1:185765315-185765345	0.227146	0.0630016	0.0774198	0.0120599
chr1:185818613-185818643	0.255539	0.00210005	0.0580649	0.0602997
chr1:185917849-185917879	0.0851797	0.231006	0.0774198	0.229139
chr1:186436025-186436055	0.198753	0.0210005	0.0580649	0.0241199
chr1:186898082-186898112	0.170359	0.0630016	0.0019355	0.120599
chr1:186979599-186979629	0.198753	0.0210005	0.0387099	0.0241199
chr1:187010744-187010774	0.00283932	0.189005	0.135485	0.205019
chr1:187381095-187381125	0.00283932	0.168004	0.0019355	0.00120599
chr1:188201310-188201340	0.227146	0.00210005	0.019355	0.00120599
chr1:188228798-188228828	0.00283932	0.0840021	0.0774198	0.180899
chr1:188385056-188385086	0.255539	0.00210005	0.019355	0.0241199
chr1:191221380-191221410	0.198753	0.0630016	0.0019355	0.0361798
chr1:191281019-191281049	0.170359	0.0210005	0.0019355	0.0361798
chr1:191993756-191993786	0.0567865	0.168004	0.0967748	0.253259
chr1:192126213-192126243	0.0283932	0.147004	0.11613	0.277379
chr1:192521250-192521280	0.255539	0.0630016	0.019355	0.0602997
chr1:193101004-193101034	0.198753	0.00210005	0.0387099	0.0361798
chr1:193725439-193725469	0.198753	0.042001	0.0387099	0.0241199
chr1:194138194-194138224	0.198753	0.0210005	0.0019355	0.0482398
chr1:194599425-194599455	0.198753	0.00210005	0.0774198	0.0361798
chr1:196020107-196020137	0.170359	0.00210005	0.0019355	0.0120599
chr1:197357147-197357177	0.0567865	0.189005	0.174195	0.337678
chr1:198141382-198141412	0.227146	0.105003	0.019355	0.0482398
chr1:198316645-198316675	0.198753	0.042001	0.019355	0.0120599
chr1:200069974-200070004	0.198753	0.0630016	0.019355	0.0361798
chr1:200373106-200373136	0.283932	0.0210005	0.0580649	0.0361798
chr1:201154527-201154557	0.00283932	0.147004	0.0580649	0.205019
chr1:201266005-201266035	0.0567865	0.168004	0.0387099	0.0844196
chr1:202351052-202351082	0.198753	0.0840021	0.0019355	0.0602997
chr1:202657397-202657427	0.0851797	0.336008	0.11613	0.168839
chr1:203039477-203039507	0.369112	0.147004	0.0387099	0.289439
chr1:203271189-203271219	0.369112	0.210005	0.0580649	0.277379
chr1:203340229-203340259	0.425898	0.0840021	0.135485	0.192959
chr1:204747004-204747034	0.227146	0.336008	0.290324	0.434158
chr1:205459157-205459187	0.255539	0.0630016	0.0774198	0.217079
chr1:205850132-205850162	0.00283932	0.147004	0.0387099	0.0482398
chr1:206449711-206449741	0.0283932	0.0840021	0.0967748	0.192959
chr1:206570707-206570737	0.0567865	0.210005	0.11613	0.253259
chr1:207761374-207761404	0.198753	0.0210005	0.0019355	0.0241199
chr1:207859123-207859153	0.227146	0.0630016	0.0019355	0.0602997
chr1:207982172-207982202	0.312325	0.0840021	0.0387099	0.156779
chr1:208221252-208221282	0.00283932	0.0630016	0.019355	0.180899
chr1:209260617-209260647	0.198753	0.00210005	0.019355	0.0482398
chr1:209560420-209560450	0.0283932	0.105003	0.0967748	0.229139
chr1:209703316-209703346	0.00283932	0.210005	0.0387099	0.0964795
chr1:209824780-209824810	0.141966	0.0210005	0.019355	0.0120599
chr1:210124404-210124434	0.340719	0.126003	0.0774198	0.132659
chr1:211779166-211779196	0.227146	0.042001	0.0387099	0.0361798
chr1:212067979-212068009	0.283932	0.00210005	0.019355	0.0602997
chr1:212288874-212288904	0.0283932	0.189005	0.15484	0.132659
chr1:212350261-212350291	0.198753	0.00210005	0.0019355	0.0602997
chr1:212648093-212648123	0.227146	0.168004	0.019355	0.0482398
chr1:213075309-213075339	0.198753	0.126003	0.0580649	0.0241199
chr1:213123745-213123775	0.0283932	0.231006	0.11613	0.180899
chr1:213221269-213221299	0.198753	0.00210005	0.0019355	0.0241199
chr1:214416450-214416480	0.0283932	0.126003	0.135485	0.229139
chr1:214453271-214453301	0.0283932	0.0840021	0.135485	0.205019
chr1:214497607-214497637	0.00283932	0.210005	0.019355	0.0361798
chr1:214570318-214570348	0.227146	0.0210005	0.0387099	0.0602997
chr1:215020181-215020211	0.198753	0.0630016	0.0387099	0.0120599
chr1:217682435-217682465	0.198753	0.00210005	0.0019355	0.0241199
chr1:218299576-218299606	0.425898	0.0840021	0.0774198	0.192959
chr1:218390070-218390100	0.198753	0.00210005	0.0580649	0.120599
chr1:218591082-218591112	0.227146	0.00210005	0.0019355	0.0361798
chr1:218759013-218759043	0.198753	0.042001	0.0019355	0.0361798
chr1:220099802-220099832	0.0283932	0.0630016	0.19355	0.0120599
chr1:220556827-220556857	0.0283932	0.126003	0.0580649	0.217079
chr1:220594513-220594543	0.0283932	0.147004	0.290324	0.132659
chr1:220640559-220640589	0.227146	0.105003	0.0387099	0.0361798
chr1:220810292-220810322	0.0567865	0.147004	0.11613	0.217079
chr1:221653032-221653062	0.198753	0.0210005	0.0387099	0.00120599
chr1:222679043-222679073	0.198753	0.00210005	0.0387099	0.0361798
chr1:222691689-222691719	0.198753	0.0210005	0.0387099	0.0361798
chr1:222738842-222738872	0.340719	0.0630016	0.174195	0.241199
chr1:222817632-222817662	0.0567865	0.273007	0.135485	0.144719
chr1:222889638-222889668	0.0567865	0.315008	0.232259	0.168839
chr1:223354319-223354349	0.0283932	0.189005	0.019355	0.0361798
