symbol	log2FoldChange	padj
CARD8	0.306383508	0.035892038
SPARC	0.306749703	0.000530144
PHLDB2	0.307227862	0.047930983
TPP2	0.307339666	0.040572864
TSNAX	0.30861145	0.046060278
RALB	0.310022407	0.007907293
LAP3	0.310179634	0.017906104
DDX50	0.310422096	0.017824233
HSPA4	0.310698492	0.007848103
DEK	0.311528661	0.031609411
BMX	0.311770211	0.014558044
SENP2	0.312271314	0.043357207
ATP6AP2	0.312751905	0.005988729
DYNLT3	0.313234797	0.026806367
SGCE	0.313267389	0.035166173
ANXA4	0.313296878	0.031526542
RAB11A	0.313839146	0.009452383
GPBP1L1	0.31386164	0.048087741
STK38	0.314034577	0.02033511
MBD4	0.314386996	0.027919905
CBX1	0.314801937	0.012379339
MOB4	0.315592934	0.020304297
6-Mar	0.31586645	0.012951783
IFT80	0.316239356	0.041314419
RCBTB2	0.316637567	0.04141772
ABRAXAS1	0.317074951	0.031669748
SUZ12	0.317608326	0.035794984
EFEMP1	0.317846022	0.002004054
AC005332.9	0.318758175	0.024571734
RWDD4	0.318812864	0.021972786
PKD2	0.31888124	0.049031762
NCOA4	0.319433735	0.022169806
RNF141	0.319652635	0.009452112
BLOC1S5	0.31974831	0.031669748
CASP3	0.320512934	0.02260632
VAMP7	0.320566565	0.045562413
ARMT1	0.32063024	0.046565892
YY1	0.320872348	0.020847726
BRD7	0.322933003	0.048992542
ARMC1	0.324227107	0.031609411
ARL1	0.32439528	0.014615593
SLTM	0.324861915	0.006851132
GABPA	0.324917355	0.041107409
ABI1	0.32511096	0.007967661
PNPLA8	0.326182461	0.036705212
FAM124B	0.326309235	0.008456549
ZNF304	0.326942065	0.046082875
PGRMC2	0.327840144	0.04141772
PDCL	0.329193898	0.020847726
CAPZA2	0.329315214	0.006312067
TLK2	0.329663427	0.029194154
ERCC5	0.33005975	0.021463987
PFKM	0.330296869	0.048389876
SCARB2	0.330927817	0.024826393
KCTD12	0.330968202	0.022240258
MYCT1	0.331061284	0.009771836
TMEM167A	0.331331216	0.042616976
ANGPT2	0.333471761	0.015682937
RPL7	0.333872284	0.01972418
CCNJ	0.333995622	0.036062294
ANP32E	0.334342446	0.028429243
TULP3	0.335081896	0.020296649
OSER1	0.335668653	0.016180723
CMPK1	0.33578125	0.001189554
FLI1	0.335970988	0.001267165
LTA4H	0.336755519	0.005245318
ARMCX3	0.337061124	0.007218453
SLC35F5	0.337205187	0.033755404
EIF4E	0.338000554	0.031669748
COPS2	0.33891855	0.020296649
RBAK	0.339334909	0.046082875
TCEAL8	0.339543273	0.035868473
UBE2Q1	0.340184634	0.005034052
AIF1L	0.341390498	0.044776104
KCNJ2	0.341503484	0.048469203
TSPAN6	0.342552315	0.032154877
KRCC1	0.342702506	0.034458458
RCN1	0.342714353	0.009787955
RCN1	0.342714353	0.009787955
CPNE8	0.344029224	0.031271418
FNBP1L	0.344405117	0.030103434
GLS	0.344823312	0.048517037
EPC2	0.345033623	0.03799903
GIPC2	0.345148693	0.029028666
EXTL2	0.345395939	0.022169806
UFM1	0.345431271	0.005091429
CUL2	0.345954294	0.004433796
GABARAPL1	0.346365394	0.024571734
HBP1	0.34697163	0.018926782
SERINC1	0.34706676	0.011718879
EXOC6	0.347421416	0.042753739
PEX3	0.348300711	0.049343461
CAP2	0.348690678	0.042616976
EBLN3P	0.349615693	0.022853393
TVP23B	0.349709317	0.036619096
CD34	0.349709579	0.018544494
KIAA1143	0.349838888	0.044279445
RNF103	0.34991832	0.026098924
CD46	0.35027938	0.017624575
UBE2E1	0.350890131	0.005374012
JKAMP	0.350916447	0.042276368
FRY	0.351832961	0.004532895
ST13	0.352102086	0.003814384
C2orf69	0.352411726	0.03555627
ZNF770	0.35255244	0.048304483
PPM1D	0.352714645	0.010580581
NR1D2	0.353148935	0.049343461
TCEAL9	0.35325608	0.017328658
PPP2R1B	0.355280067	0.012639352
EIF5B	0.355282149	0.030690292
SMARCAD1	0.355315914	0.049343461
DHX36	0.355388043	0.046082875
5-Mar	0.355965552	0.012547301
CD2AP	0.356506945	0.037186863
OXR1	0.356801889	0.032805848
SLC9B2	0.357160846	0.041476486
LIMS1	0.358470582	0.044776104
PRPF40A	0.359044293	0.002739903
AFTPH	0.359144828	0.031854696
FAM98B	0.359430237	0.005034052
DNM1L	0.359688883	0.041272524
SF3B1	0.360100808	0.021575406
EIF1AX	0.361230346	0.003625351
EIF1AX	0.361230346	0.003625351
GIMAP6	0.361382444	0.004811857
CHORDC1	0.362280189	0.012379339
DACH1	0.362426295	0.029518186
NDUFA5	0.362622385	0.007583727
CFI	0.363729834	0.009289233
LINC01197	0.364488658	0.033835929
LINC01197	0.364488658	0.033835929
SH3GLB1	0.364906316	0.00274245
EMCN	0.365326744	0.035438798
LDB2	0.36590916	0.019245973
SCHIP1	0.365976695	0.02271647
GPRC5B	0.366236237	0.005034052
FAM172A	0.36644296	0.041973393
TBK1	0.366686953	0.022169806
ESCO1	0.367927449	0.029028666
DDX60	0.367994865	0.020384566
ZBTB33	0.368963235	0.031135249
ATP11C	0.3691221	0.042276368
PLEKHA5	0.369497878	0.039065045
MATR3	0.370361407	0.010423146
SLC2A3	0.370776279	0.003867673
MIGA1	0.371705132	0.015465662
KLF3	0.372255459	0.022853393
SRPRB	0.374316061	0.027791115
CKAP2	0.374957261	0.007935255
VPS35	0.376443542	0.022158257
EIF2AK3	0.378281678	0.016483946
WDR70	0.378411276	0.024357936
MAOA	0.379164179	0.048087741
CAVIN2	0.379166458	0.000297047
RSRC1	0.379395228	0.039361368
USP16	0.383445895	0.011822667
PRKAG2	0.38397824	0.009946403
KIAA0753	0.384748947	0.012364238
CCNG2	0.384984337	0.021347202
ZBTB1	0.385948052	0.023654983
ZNF644	0.388891032	0.033993927
RYBP	0.389361831	0.016648672
INIP	0.39010368	0.026355073
YPEL2	0.39068434	0.015465662
HPS5	0.390906473	0.008922523
BET1	0.392145203	0.009344867
PPP1R3B	0.39216719	0.010486775
STK38L	0.393103338	0.023411437
TLK1	0.393241204	0.049792926
7-Sep	0.393489133	0.003895954
NPM1	0.394517319	0.042616976
MTF2	0.395443692	0.020505963
KRR1	0.395624881	0.004770825
GBP3	0.396709484	0.039625793
SLC25A30	0.396732645	0.006851132
ZNF189	0.3971442	0.014308155
CFL2	0.397718982	0.025148081
NRCAM	0.398992328	0.015757667
ZNF677	0.399823617	0.048846335
THAP1	0.400304441	0.035794984
GIMAP8	0.401640096	0.000939203
ZSCAN26	0.401714761	0.047405846
CCDC25	0.402855452	0.024613599
ZMYM5	0.403248315	0.02887913
RABL3	0.405365175	0.036619096
CLEC1A	0.407810057	0.022943766
RPL22	0.408251304	0.031510966
C3orf58	0.40863052	0.004773433
RNF13	0.408879779	0.025169513
ZNF252P	0.412863143	0.028630307
IL1R1	0.413466797	0.048616203
SLC30A6	0.413586959	0.024425257
PDE4B	0.413842586	0.005770577
KIT	0.414942883	0.022816068
TP53INP1	0.416061673	0.021972786
HMGB1P6	0.416271121	0.04141772
RAB6A	0.416926928	0.023292086
CNKSR3	0.418285874	0.035864129
FOPNL	0.418420559	0.011026916
ADGRF5	0.418923351	0.023411437
LDAH	0.419109357	0.019667987
DNAJB4	0.425091367	0.009952284
TPD52	0.425488526	0.030434906
ZSCAN16	0.4259853	0.038605208
ZNF268	0.426333951	0.037287485
CISD2	0.428002875	0.005971083
FAM198B	0.431330876	0.020394364
CALCOCO2	0.431569182	0.021972786
SIAE	0.431881355	0.000701672
ZHX1	0.432014028	0.045625565
MMRN1	0.434253316	0.023601608
ZNF22	0.434347605	0.003218548
SMARCA5	0.434476728	0.005347301
PFDN1	0.434805043	0.008415187
CLK4	0.435070682	0.035794984
LPAR6	0.435137316	0.037287485
BNIP3L	0.435351623	0.005019763
NA	0.438379933	0.005245318
SMNDC1	0.439159037	0.002590965
MYZAP	0.439685616	0.012458588
TMX3	0.440748297	0.045601478
VAMP4	0.440761403	0.025489217
CD200	0.440780813	0.021972786
AGK	0.441480721	0.021575406
SLC35A5	0.441725802	0.014558044
CALCRL	0.443842369	0.011296562
WDR53	0.444993019	0.032653867
RNF6	0.445438257	0.003290534
AL158206.1	0.446106786	0.042276368
TXNDC16	0.448214912	0.040120351
NOC3L	0.448437171	0.012027203
TBC1D15	0.448555732	0.003644628
UBE2D2	0.448938531	0.020719345
CCDC82	0.452303693	0.025793485
PDCD4	0.453676379	0.005366764
MT-ND4L	0.454267616	0.022828161
C8orf4	0.454514064	0.009075306
ANTXR2	0.454740121	0.008792443
CLCN3	0.454996715	0.005399103
PDK4	0.455088781	0.012364238
FBXO38	0.455856058	0.022853393
TRIM22	0.456732679	0.005091429
ST6GALNAC3	0.458373324	0.023305192
HMG20A	0.458667409	0.008162857
